Date,Length,Weight,Place,Method,Killed,Sex,River,Species,Name,Year,Month,Week,Weekday
2015-03-01,58,1.560896,Middle,Spin,TRUE,NA,Karup,Seatrout,Fru Frida Mortensen,2015,3,9,Sunday
2015-03-01,64,2.097152,Middle,Worm,TRUE,NA,Karup,Seatrout,Mille Schou,2015,3,9,Sunday
2015-03-01,53,1.5,Lower,Worm,TRUE,NA,Karup,Seatrout,Thomas Andersen-Olsen,2015,3,9,Sunday
2015-03-01,59,1.643032,Lower,Worm,TRUE,NA,Karup,Seatrout,Alex Knudsen-Thygesen,2015,3,9,Sunday
2015-03-01,45,0.729,Lower,Worm,TRUE,NA,Karup,Seatrout,Øjvind Brandt,2015,3,9,Sunday
2015-03-01,44,0.95,Lower,Worm,TRUE,NA,Karup,Seatrout,Prof. Lærke Knudsen,2015,3,9,Sunday
2015-03-01,41,0.7,Lower,Worm,TRUE,NA,Karup,Seatrout,Elna Rasmussen,2015,3,9,Sunday
2015-03-01,52,1.124864,Lower,Worm,TRUE,NA,Karup,Seatrout,Elna Rasmussen,2015,3,9,Sunday
2015-03-01,63,2.000376,Lower,Worm,TRUE,NA,Karup,Seatrout,Hjalte Andresen,2015,3,9,Sunday
2015-03-01,71,2.863288,Lower,Worm,TRUE,NA,Karup,Seatrout,Dr. Johannes Olesen,2015,3,9,Sunday
2015-03-01,73,3.112136,Lower,Worm,TRUE,NA,Karup,Seatrout,Dr. Johannes Olesen,2015,3,9,Sunday
2015-03-01,63,2.8,Middle,Worm,TRUE,NA,Karup,Seatrout,Mark Jørgensen,2015,3,9,Sunday
2015-03-01,60,1.728,Upper,Fly,TRUE,NA,Karup,Seatrout,Randi Christoffersen-Lauritsen,2015,3,9,Sunday
2015-03-01,50,1,Middle,Fly,TRUE,NA,Karup,Seatrout,Kristine Sørensen,2015,3,9,Sunday
2015-03-01,60,1.728,Upper,Spin,TRUE,NA,Karup,Seatrout,Karin Johansen,2015,3,9,Sunday
2015-03-01,40,0.512,Lower,Spin,TRUE,NA,Karup,Seatrout,Fru Else Kjær,2015,3,9,Sunday
2015-03-01,43,0.636056,Lower,Spin,TRUE,NA,Karup,Seatrout,Fru Else Kjær,2015,3,9,Sunday
2015-03-01,60,1.7,Middle,Spin,TRUE,NA,Karup,Seatrout,Curt Jessen,2015,3,9,Sunday
